p_val,avg_log2FC,pct.1,pct.2,p_val_adj,gene
6.080363600102471e-7,-0.9533530514627688,0.054,0.123,0.016963606407925883,BICC1
6.340599051531469e-7,-0.47291964724247404,0.211,0.33,0.017689637293867643,ACAA2
6.428458883338547e-7,-0.5251726402156487,0.304,0.441,0.01793475743862621,LARP7
6.508166451342967e-7,-0.34527600808174524,0.272,0.409,0.018157133582601744,MAVS
6.5949746813662e-7,-1.443235986750668,0.029,0.083,0.01839931986354356,ZNF124
6.649251452294356e-7,-1.5002917994872527,0.027,0.08,0.018550746626756025,NFYA
6.720732863971487e-7,-1.0074778287225465,0.077,0.155,0.018750172617194052,DTYMK
6.736306685834056e-7,-0.9624771107162073,0.047,0.112,0.01879362202280843,PIAS2
7.011854487804896e-7,1.2548915413974133,0.177,0.095,0.01956237283552688,GATAD1
7.076889455854471e-7,-1.0132187312383012,0.027,0.08,0.019743813892888387,LRTOMT
7.188100838965257e-7,-0.18576378537916405,0.534,0.697,0.02005408253062917,CXCR4
7.276339809593408e-7,-0.6273162037837587,0.081,0.163,0.02030026043478465,MAD2L2
7.534950165779892e-7,-0.4417471270072576,0.28,0.413,0.02102175746750932,NDUFA5
7.559476061348338e-7,-1.2464081184087288,0.042,0.104,0.02109018226355573,TRIP13
7.707349523017551e-7,-1.0895897835089579,0.02,0.069,0.021502734434266667,MIR181A1HG
7.788093525708601e-7,-0.8988741243725121,0.081,0.162,0.021728002127374427,FEN1
7.90620028877354e-7,-1.0933845370428343,0.041,0.103,0.022057508185649298,DAXX
7.922853109111544e-7,-1.0216288117169108,0.021,0.071,0.022103967889110298,ANP32AP1
7.933544917434293e-7,0.9891476325939192,0.329,0.237,0.022133796965149933,UBQLN1
7.946854758535744e-7,-0.8542686238083814,0.058,0.128,0.022170930090838873,LRR1
8.04088003131659e-7,-0.5665942282862226,0.105,0.197,0.022433251199370157,RBM47
8.06000647292132e-7,-0.39249480162734995,0.23,0.354,0.02248661205880319,COX20
8.120782584020362e-7,-2.7950736964826706,0.004,0.034,0.02265617133115841,HBA2
8.192591203183721e-7,1.255430742454616,0.202,0.117,0.022856510197762265,RAB37
8.244470519038875e-7,-2.302446967047479,0.004,0.034,0.023001248301066556,RPSAP52
8.336926330518469e-7,-5.659007878765869,0,0.022,0.023259190769513476,SOCS1
8.39996707782122e-7,-1.0935561891538508,0.106,0.191,0.02343506815041342,HMMR
8.490240149799193e-7,-0.41758544989150814,0.342,0.478,0.02368692099392477,SRSF2
8.545537428125017e-7,-0.7676614887565063,0.051,0.119,0.023841194870725984,TRIM8
8.594509912679485e-7,-0.30058982311367455,0.718,0.827,0.023977823205384493,COX6C
8.610501036007477e-7,0.7389203279438886,0.365,0.271,0.02402243684035726,RIOK3
8.626516804872778e-7,-2.5431578058909996,0.004,0.034,0.024067119233914563,FZD3
8.831615041133927e-7,1.8614544611637625,0.106,0.04,0.024639322803259544,ULK1
9.054260601545143e-7,-1.4765112017956583,0.031,0.085,0.025260481652250793,JPX
9.148864930820365e-7,-0.36080695573913313,0.286,0.423,0.025524418270495734,PABPC4
9.252780266680035e-7,1.3597223819709052,0.155,0.077,0.02581433166601063,GYG1
9.286391552123345e-7,-0.6269303113008852,0.253,0.375,0.02590810379126892,G3BP2
9.315419040727703e-7,-0.7324815596389851,0.075,0.154,0.025989087581726217,CSE1L
9.510207948176861e-7,-1.6330373078329448,0.04,0.099,0.026532529154618626,PXMP2
9.610651244858616e-7,0.6073030980027185,0.565,0.514,0.026812755908031054,P4HB
9.724310799813198e-7,3.819267242003692,0.048,0.005,0.02712985470039884,MRS2P2
9.729881677070093e-7,-1.2104636267483913,0.036,0.095,0.02714539689085785,TMEM97
9.795687564361255e-7,-0.7918481132079745,0.093,0.176,0.027328988735811466,LYRM4
9.848485858252359e-7,-0.5531730422447843,0.099,0.188,0.027476290695938255,MAP7D3
1.0061706446499396e-6,-0.823205542733078,0.054,0.122,0.028071154815088664,SVIL
1.0070387519809566e-6,-1.8864008402320285,0.02,0.066,0.028095374141516707,LILRB1
1.0083593106566326e-6,-1.5253980824804123,0.017,0.061,0.02813221640800939,TRAM1L1
1.012862129239467e-6,1.009581974046214,0.348,0.263,0.02825784054365189,NUP50
1.0364635537694746e-6,-0.43040186848567374,0.14,0.244,0.028916296686614572,SMIM4
1.0592576910285864e-6,-0.23154206557651724,0.894,0.923,0.02955223032200653,EEF1G
1.0675474738729914e-6,3.9873372569591083,0.045,0.003,0.029783506973582587,MAP1LC3A
1.0712023442242819e-6,-0.5887203991625598,0.217,0.335,0.02988547420151324,HSD17B12
1.072035286584623e-6,-0.7460842988343523,0.087,0.167,0.029908712460424397,EGLN1
1.1173480316532692e-6,-1.7378120287438357,0.019,0.064,0.03117289273509456,GBAT2
1.1184288782671287e-6,-0.8645162074466235,0.086,0.165,0.031203047274774624,MED28
1.1198277072874983e-6,-0.3738354412760587,0.486,0.625,0.031242073205613917,SYNCRIP
1.1244665408608643e-6,-0.6433337078754224,0.142,0.24,0.031371492023477256,UFL1
1.1312968451743462e-6,-0.4295345426590008,0.378,0.505,0.03156205068351908,MOB1A
1.1478500373368794e-6,-0.6051157272065969,0.145,0.247,0.0320238681916616,UCHL5
1.1566606522848526e-6,-1.0464850145348268,0.037,0.096,0.0322696755380951,FAM166A
1.1740395834550634e-6,0.6652438515729857,0.502,0.434,0.032754530338812815,SMG1
1.1769767639058854e-6,-1.1524628168909934,0.03,0.083,0.0328364747362103,FRG1CP
1.1769797456638333e-6,-3.88458511961368,0.003,0.03,0.032836557924275284,LILRA5
1.213463317266536e-6,-0.5971879209769795,0.054,0.122,0.033854413088419084,C5orf51
1.2382152942499593e-6,-0.4046936100665979,0.223,0.348,0.03454496849427961,CBWD5
1.2447523937811282e-6,-2.6322286948962015,0.007,0.042,0.034727347034099694,PANX1
1.2559156718493893e-6,0.5787164699483534,0.558,0.502,0.035038791328926115,TRA2B
1.2895324201665546e-6,-0.39315215332138365,0.182,0.296,0.035976664990226705,DDX39A
1.3332162887693179e-6,-1.2446503917301683,0.025,0.075,0.0371954012403752,IMMP1L
1.3395612185722959e-6,2.642088349138295,0.071,0.018,0.03737241843694848,DPEP2
1.3547275441063118e-6,-0.6421684955752959,0.161,0.263,0.03779554375302199,SPECC1
1.3650435091291156e-6,-0.7693557771299031,0.099,0.181,0.038083348861193196,KIF15
1.3674277330154233e-06,-0.6689037806893834,0.127,0.22,0.03814986632339729,OAT
1.3695953859117855e-6,-0.8418699163588653,0.116,0.202,0.038210341671552905,MRPL48
1.381025084123223e-6,-0.6088672554265575,0.191,0.301,0.0385292188219538,PDS5B
1.393346524295228e-6,-1.6516349967428274,0.007,0.042,0.038872974681312567,QPCT
1.4039867563664858e-6,-0.4466887650061373,0.339,0.473,0.03916982651586859,PPIG
1.449904145548137e-6,-0.7296972572288868,0.147,0.245,0.04045087575664748,KIF2A
1.4775060647636883e-6,4.204063336214839,0.044,0.003,0.04122094170084214,ZNF532
1.4894242099212486e-6,-0.358484273855046,0.398,0.559,0.041553446032592915,SOD1
1.542717640990375e-6,4.5373887762095375,0.04,0.002,0.04304027946599047,ATP8B3
1.5993868954257032e-6,1.8524368100352597,0.084,0.026,0.044621294995481696,PHYH
1.6107215604348463e-6,-1.0101788064184718,0.061,0.13,0.04493752081457178,HLA-DQB1
1.6358112562858247e-6,1.2269349360542536,0.205,0.122,0.045637498239118224,RAB13
1.6359320934307543e-6,0.9683154751311325,0.307,0.221,0.04564086947462461,PDCD6IP
1.6721355402565142e-6,-0.8685522462818162,0.099,0.183,0.04665090943761649,NDUFS1
1.6785123568379676e-6,-0.5703348423692413,0.294,0.421,0.04682881624342246,BPTF
1.6850496145342655e-6,1.5064534954127629,0.17,0.091,0.04701119919589147,LINC02256
1.68664660036374e-6,-1.007478851492001,0.036,0.093,0.04705575350354798,DAAM1
1.7081101975825084e-6,-3.1379715091025355,0.002,0.027,0.0476545664023544,ZNF711
1.7223372316357953e-6,-0.2973510246287412,0.392,0.546,0.048051486425407054,ATP5G2
1.7306701079194876e-6,-1.0968164977879624,0.064,0.133,0.04828396534084579,NEXN
1.773673779738746e-6,-0.42024980621640007,0.316,0.449,0.04948372478093128,DDX46
1.7825977188293214e-6,-0.5835684832918431,0.095,0.179,0.04973269375761924,CCNE2
1.8099156139593978e-6,-0.6040237263915424,0.145,0.242,0.05049483571385324,SREK1IP1
1.81775657205592e-6,-0.6195698300335968,0.039,0.098,0.05071359060378811,PPP1R8
1.8206561394535461e-6,-0.36410706466009707,0.155,0.26,0.050794485634614486,FOXN2
1.8343148758427614e-6,-0.4905241401832655,0.314,0.442,0.0511755507211372,ATRX
1.8731906876558745e-6,-1.9821204343050498,0.009,0.045,0.052260146994911244,ABHD17C
1.8744552407474459e-6,-1.5781006928540937,0.015,0.056,0.052295426761612994,PIN4P1
1.899188170179413e-6,-0.7332697164423239,0.084,0.163,0.05298545075983545,SYNGR1
1.906667801430378e-6,-0.49954191108770035,0.197,0.309,0.053194124992106115,CLNS1A
1.9083375766584325e-6,-1.3235077118862035,0.033,0.087,0.05324071005119361,RNF125
1.920506025425611e-6,-1.3317301677134172,0.031,0.083,0.053580197603349124,PHC2
1.9250537160506126e-6,1.1982964416760993,0.155,0.077,0.05370707362409604,CPNE8
1.9576606082446614e-6,-1.0797818628539029,0.049,0.112,0.05461677330941781,ANAPC15
1.964736859677222e-6,-2.4152343107003054,0.004,0.032,0.054814193648134814,TMEM236
1.9863468815765483e-6,-0.7145437528570439,0.115,0.202,0.05541709164910412,ATXN10
2.012001394940959e-6,-0.2669870101635399,0.153,0.261,0.056132826917457815,SNU13
2.0316270193420506e-6,-0.40235431581434755,0.114,0.205,0.05668036221262387,FCF1
2.0327717452380147e-6,-4.595138142669512,0.001,0.024,0.05671229892039537,KLF12
2.0486345564667026e-6,-1.0839854780042166,0.072,0.144,0.057154855490864534,CDK11A
2.0638318871903645e-6,-4.021460013212231,0.001,0.024,0.05757884582072398,SLC44A2
2.068142123487172e-6,-5.7716132903785375,0,0.021,0.05769909710316861,EGR3
2.068142123487172e-6,-6.153610429378654,0,0.021,0.05769909710316861,IGLL1
2.068142123487172e-6,-5.729819639615761,0,0.021,0.05769909710316861,LOC349160
2.068142123487172e-6,-5.680625656608852,0,0.021,0.05769909710316861,PRKCQ
2.068142123487172e-6,-5.415172259998197,0,0.021,0.05769909710316861,USP51
2.075322818304089e-6,-1.1584747149446193,0.051,0.115,0.057899431307865776,NPAT
2.076383150012204e-6,-2.6881863071254157,0.001,0.024,0.05792901350219048,MEX3B
2.2356064947205416e-6,-0.39985749487194644,0.226,0.346,0.06237118559620839,HAT1
2.2382667742464982e-6,-1.2885884193027919,0.027,0.077,0.06244540473470305,DHX57
2.266627804667493e-6,-0.617780906821424,0.121,0.212,0.06323664912241839,TAF11
2.299387572460455e-6,0.6532314635292132,0.52,0.457,0.06415061388407423,CLINT1
2.3058452318950477e-6,-1.1738599004752108,0.042,0.101,0.06433077612463994,BTG2
2.356573208330346e-6,1.7810817646456905,0.107,0.043,0.06574603593920833,RAB9A
2.3573003048776533e-6,-1.0363397370623888,0.033,0.087,0.06576632120578164,BMPR1B
2.3613230822917146e-6,0.3748826369246321,0.753,0.731,0.06587855267285654,GMFG
2.3613785773776785e-6,-0.3027719887819622,0.509,0.663,0.06588010093025985,SUMO2
2.3677281581824205e-6,-0.3948035684026281,0.424,0.564,0.06605724788513134,STAG2
2.3860043246461948e-6,0.9574270421602681,0.264,0.176,0.06656713465330419,SQSTM1
2.4275761308578088e-6,3.7895940799796546,0.046,0.005,0.06772694647480201,C2
2.435624430892331e-6,-1.0223958420804768,0.041,0.099,0.06795148599746514,MIF4GD
2.4378884293688797e-6,-0.24545554594063823,0.783,0.872,0.06801464929096238,HSP90AB1
2.439310153318267e-6,-1.582939801165867,0.007,0.038,0.06805431396742634,BCO2
2.5381938876549048e-6,-0.5878366360004074,0.11,0.194,0.0708130712716842,TYMS
2.541192108454327e-6,-0.4296982448504313,0.344,0.479,0.07089671863376727,RNF130
2.560018438978898e-6,2.6537663942280254,0.063,0.014,0.07142195442907227,LOC101927851
2.5676476484893985e-6,1.2413096413554565,0.154,0.077,0.07163480174520573,CFP
2.575115031925014e-6,1.643150598200563,0.103,0.04,0.07184313427567596,MYO15B
2.5948584466925673e-6,-1.2702913877466075,0.02,0.066,0.07239395580427593,TMEM220
2.59829276640987e-6,-0.5478977115326673,0.102,0.189,0.07248976989006896,PRPF19
2.605308977661688e-6,-0.7912272343508493,0.042,0.101,0.07268551516778343,PLAGL1
2.651933680869798e-6,-0.42169383734278454,0.252,0.38,0.0739862977625865,EIF3F
2.682588906598772e-6,-0.44260115266321143,0.333,0.468,0.07484154790519915,RAC1
